ID	Feed	SiteSection	Title	Description
httpswwwreuterscomarticleusaerionsupersonicceoaeriondesigningsupersonicjettoruncompletelyonbiofuelsceoidUSKCN1R92RDfeedTypeRSS&feedNametechnologyNews	Reuters	technologyNews	Aerion designing supersonic jet to run completely on biofuels: CEO	Supersonic jet developer Aerion Corp is designing its first plane to run completely on biofuels to reduce emissions, even as the company calls for new global standards for planes that can conquer the sound barrier, the company's chief executive said on Thursday
httpswwwcnncom20190330techfacebookmarkzuckerbergregulationindexhtml	CNN	tech	Facebook's Mark Zuckerberg calls for more regulation of the internet	Facebook chief executive Mark Zuckerberg, who has been under scrutiny for the social media company's is calling for regulators to play a "more active role" in establishing rules for the internet
httpswwwcnncom20190327techondemandcompaniesipoindexhtml	CNN	tech	On-demand companies rewired our lives. Now they must survive Wall Street	Lyft, Uber and Postmates are all planning to go public this year, setting up 2019 as a pivotal year for the on-demand industry
httpswwwcnncom20190329techlyftgoespublicindexhtml	CNN	tech	Lyft rises 8.7% on its first day of trading	For years, Uber tried to bulldoze ahead of Lyft and other rivals through a mix of aggressive fundraising and dirty tricks. At one point in 2017, Uber's former CEO Travis Kalanick was caught bragging on video that it was "a piece of cake" to compete with Lyft. "I've beaten them," he said
httpswwwcnncom20190329techapplecancelsairpowerchargingindexhtml	CNN	tech	Apple cancels plans for AirPower charging mat	Apple's much-anticipated wireless charging mat AirPower won't be launching after all
httpswwwcnncom20190329techlyftipouberdriversindexhtml	CNN	tech	Lyft drivers question company's future as a public company	As Lyft becomes a public company, there's one group of people that faces an uncertain future: its drivers
httpswwwcnncom20190329techlyftinvestorsipoindexhtml	CNN	tech	Here's who will get rich from the Lyft IPO	As Lyft makes its debut as a publicly traded company, co-founders Logan Green and John Zimmer will be rich. But they won't be billionaires just yet
httpswwwcnncom20190329techblackberryearningsjohnchenindexhtml	CNN	tech	Forget everything you remember about BlackBerry	BlackBerry is no longer a smartphone company. That's great news for BlackBerry investors
httpswwwcnncom20190329techhowtostoprobocallsindexhtml	CNN	tech	What you can do right now to stop robocalls	Billions of robocalls are vexing Americans — and it's not slowing down
httpswwwcnncom20190328techhuaweiearningschinaindexhtml	CNN	tech	Huawei's profits jump by 25% despite US efforts to curtail its business	Huawei's profits soared to nearly $9 billion last year, powered by its booming smartphone business, but a US-led campaign against the company weighed on sales of telecom equipment
httpswwwcnncom20190328techtwittergoogleadvertisinghudindexhtml	CNN	tech	HUD wants answers about Twitter and Google ad practices	The Department of Housing and Urban Development has sent letters of inquiry to Twitter and Google about their advertising practices, according to a HUD official
httpswwwcnncom20190328techlyftipopriceindexhtml	CNN	tech	Lyft IPO priced at $72 per share	Even unprecedented losses aren't cutting into investor appetite for Lyft's Wall Street debut
httpswwwcnncom20190328techamazonaustinexpansionindexhtml	CNN	tech	Amazon expands in Austin with 800 new tech jobs	Amazon will create 800 new tech jobs in Austin, which is its first significant corporate expansion since it canceled plans to build a second headquarters in New York's Long Island City neighborhood
httpswwwcnncom20190327techfacebookwhitenationalismbanindexhtml	CNN	tech	Facebook bans white nationalism two weeks after New Zealand attack	Facebook announced Wednesday that it would ban all "praise, support and representation of white nationalism and separatism" on Facebook and Instagram
httpswwwcnncom20190328techchinausunicornstechstartupsindexhtml	CNN	tech	Chinese startups lag in race for the future of tech	Chinese tech companies are battling the United States for global supremacy, but they're still lagging behind where it matters most
httpswwwcnncom20190328techtrumptwitterruleslabelindexhtml	CNN	tech	Twitter is considering labeling Trump tweets that violate its rules	Twitter is considering labeling tweets that violate its rules but should remain on the platform because they're in the public interest
httpswwwcnncom20190328techfacebookhudaddiscriminationindexhtml	CNN	tech	HUD charges Facebook with housing discrimination	The Department of Housing and Urban Development is charging Facebook with violating the Fair Housing Act
httpswwwcnncom20190328techhuaweiuksecurityindexhtml	CNN	tech	Huawei is failing to convince the UK it can be trusted	UK officials have delivered a harsh rebuke to Chinese tech giant Huawei by raising new concerns over its engineering work and questioning the company's commitment to security
httpswwwreuterscomarticleusvenezuelapoliticsvenezuelanssetupburningbarricadesoverlackofpowerwateridUSKCN1RC0U0feedTypeRSS&feedNameworldNews	Reuters	worldNews	Venezuelans set up burning barricades over lack of power, water	Angry Venezuelans set up burning barricades near the presidential palace in Caracas and in other parts of the country on Sunday in protests over constant power outages and shortages of drinking water in the wake of two major blackouts this month
httpswwwreuterscomarticleususaeconomyretailusretailsalesunexpectedlyfallinfebruaryidUSKCN1RD2ADfeedTypeRSS&feedNamebusinessNews	Reuters	businessNews	U.S. retail sales unexpectedly fall in February	U.S. retail sales unexpectedly fell in February, the latest sign economic growth has shifted into low gear as stimulus from $1.5 trillion in tax cuts and increased government spending fades
httpswwwreuterscomarticlecanadastockscanadastockstsxfuturesupasoilextendsgainschinadataboostssentimentidUSL3N21J2Q8feedTypeRSS&feedNamecompanyNews	Reuters	companyNews	CANADA STOCKS-TSX futures up as oil extends gains, China data boosts sentiment	Futures pointed to a higher opening for
Canada's main stock index on Monday, led by rising crude and
strong manufacturing data from China which boosted global
investor sentiment
httpswwwreuterscomarticledealsdaydealsofthedaymergersandacquisitionsidUSL3N21J2R2feedTypeRSS&feedNamecompanyNews	Reuters	companyNews	Deals of the day-Mergers and acquisitions	The following bids, mergers,
acquisitions and disposals were reported by 2030 GMT on Monday
httpswwwreuterscomarticlesaudiaramcoprospectuspricesaramcosghawarfieldhad58blnbarrelsofoilequivalentend2018prospectusidUSD5N20800CfeedTypeRSS&feedNamecompanyNews	Reuters	companyNews	Aramco's Ghawar field had 58 bln barrels of oil equivalent end-2018 - prospectus	Saudi Aramco's Ghawar field, the
largest oilfield in the world, had 58 billion barrels of oil
equivalent in combined reserves at the end of 2018, and 48.3
billion in liquid reserves, the company said in its bond
prospectus on Monday
httpswwwreuterscomarticleglobalmarketsglobalmarketssharessurgeonchinasfactoryreboundtradeoptimismidUSL8N21J35WfeedTypeRSS&feedNamecompanyNews	Reuters	companyNews	GLOBAL MARKETS-Shares surge on China's factory rebound, trade optimism	Global stocks surged on Monday,
extending gains from their best quarter since 2010, as strong
Chinese factory activity data and signs of progress in
U.S.-China trade negotiations gave investors reason to cheer
httpswwwreuterscomarticleususatrumpsubpoenashousecommitteepoisedtosubpoenamuellerreportidUSKCN1RD2AHfeedTypeRSS&feedNamepoliticsNews	Reuters	politicsNews	House committee poised to subpoena Mueller report	The U.S. House Judiciary Committee on Monday said it will work this week on a resolution authorizing subpoenas for Special Counsel Robert Muller's full report on his investigation into alleged Russian meddling in the 2016 presidential election
httpswwwcnncombusinesslivenewsstockmarketnewstoday040119indexhtml	CNN	ve-news	What's moving markets today	Here's what investors are paying attention to
httpswwwcnncom20190401politicshousejudiciarysubpoenafullmullerreportindexhtml	CNN	politics	Democrats to authorize subpoena for full Mueller report	House Judiciary Chairman Jerry Nadler will authorize a subpoena this week to obtain the full, unredacted report from special counsel Robert Mueller, teeing up a showdown between congressional Democrats and the Trump administration over the nearly 400-page report
https:www.usatoday.comstorynewsnation20190401samantha-josephson-video-shows-her-entering-car-accused-killer3329523002	USAToday	topstories	Chilling surveillance video shows South Carolina student entering car of accused killer	Surveillance video posted on Facebook  shows&nbsp;a University of South Carolina student climbing into the vehicle of the person accused of killing her
https:www.usatoday.comvideosnews20190325explained-why-we-celebrate-easter-baskets3263980002	USAToday	newstopstories	Explained: Why we celebrate with Easter baskets	Easter baskets are an indelible part of the holiday, but aside from giving us a sugar high, what&rsquo;s their significance? Nathan Rousseau Smith gives us a history lesson
https:www.foxnews.compoliticsocasio-cortezs-record-as-youngest-member-of-congress-may-be-challenged-by-florida-republican-i-need-to-get-involved-now	FOX		Ocasio-Cortez's record as youngest member of Congress may be challenged by Florida Republican	U.S. Rep. Alexandria Ocasio-Cortez, D-N.Y., may be the youngest member of Congress at the moment, but that could change if a Republican millennial from Florida is able to unseat a Democrat in the November 2020 election
httpswwwcnncom20190401politicsairlinedelaysdeltasouthwestamericanindexhtml	CNN	politics	Technical issues cause flight delays for several major airlines	Several major US airlines were reporting malfunctions with flight planning software early Monday morning, leading to delays across the country
httpswwwcnncom20190401businesssiemensbrexitlaughingstockindexhtml	CNN	business	Siemens exec: Brexit is turning the UK into a 'laughing stock'	A top Siemens executive has warned that chaos over Brexit is wrecking the United Kingdom's reputation as a place to do business and turning it into a "laughing stock.
httpswwwcnncom20190108techimpossibleburgernewrecipeindexhtml	CNN	tech	Can the Impossible Burger fool meat lovers?	The new Impossible Burger might make some vegetarians uncomfortable
httpswwwcnncomvideosbusiness20190108newimpossibleburgercnn	CNN	ness	Creators say they have cracked the code to make this vegan burger taste like the real thing	This is the new Impossible Burger, and its creators say they have cracked the code to make this vegan burger taste just like the real thin
https:www.usatoday.comvideosnewspolitics20190401wife-ex-defense-sec-says-picture-biden-his-hands-her-misleading3329624002	USAToday	topstories	Wife of ex-defense sec. says picture of Biden with his hands on her is misleading	With Joe Biden making headlines for an apparent inappropriate interaction with Lucy Flores, a photo has resurfaced of Biden with Stephanie Carter
https:www.usatoday.comvideosnewsnation20190401rapper-nipsey-hussle-shot-and-killed3329764002	USAToday	topstories	Rapper Nipsey Hussle shot and killed	Celebrities pay tribute on social media to Grammy-nominated rapper Nipsey Hussle, who was shot and killed outside his clothing store, aged 33. (April 1
https:www.usatoday.comvideoslifeallthemoms20190329seven-firefighters-wives-expecting-just-months-apart3315141002	USAToday	newstopstories	7 firefighters&apos; wives pregnant at the same time	Seven women, all wives of North Carolina firefighters, are pregnant at the same time. Brianna Mitschele captured their pregnancies in a firehouse firehouse
https:www.usatoday.comstorysportssoccer20190401dortmund-defender-achraf-hakimi-out-for-rest-of-season39283893	USAToday	newstopstories	Dortmund defender Achraf Hakimi out for rest of season	Borussia Dortmund defender Achraf Hakimi has been ruled out for the rest of the season and center back Abdou Diallo is also injure
httpswwwreuterscomarticlebritaineuupdate2brexitindisarraymayunderpressuretogoforsoftbrexitidUSL8N21J35BfeedTypeRSS&feedNamecompanyNews	Reuters	companyNews	UPDATE 2-Brexit in disarray: May under pressure to go for soft Brexit	* Lawmakers vote on softer options on Monday
(Adds Juncker comments, Steve Baker
httpswwwreuterscomarticleusnorwayautosteslaboomliftsnorwayselectriccarsalesto58percentmarketshareidUSKCN1RD2BBfeedTypeRSS&feedNametechnologyNews	Reuters	technologyNews	Tesla boom lifts Norway's electric car sales to 58 percent market share	Almost 60 percent of all new cars sold in Norway in March were fully electric, the Norwegian Road Federation (NRF) said on Monday, a global record set by a country seeking to end fossil-fueled vehicles sales by 2025
httpswwwreuterscomarticleususaelectionfundraisingdemocratichopefulbuttigiegannounces7millioncashhaulkickingofffundraisingdisclosuresidUSKCN1RD2BKfeedTypeRSS&feedNamedomesticNews	Reuters	domesticNews	Democratic hopeful Buttigieg announces $7 million cash haul, kicking off fundraising disclosures	Candidates vying for the Democratic nomination to be U.S. president began on Monday to reveal how much cash they were able to raise in the first quarter of the year - an early test of their ability to organize and build support
https:www.usatoday.comstorymoney20190401with-prices-spiking-which-states-already-have-3-gas39283543	USAToday	topstories	Why are gas prices going up? They&apos;re already above $3 a gallon in these four states.	The price of an average gallon of regular gasoline is surging nationwide, up almost 12 percent the last month. Why are gas prices rising? Oil prices
httpswwwreuterscomarticleususaelectionfundraisingdemocratichopefulbuttigiegannounces7millioncashhaulkickingofffundraisingdisclosuresidUSKCN1RD2BKfeedTypeRSS&feedNamepoliticsNews	Reuters	politicsNews	Democratic hopeful Buttigieg announces $7 million cash haul, kicking off fundraising disclosures	Candidates vying for the Democratic nomination to be U.S. president began on Monday to reveal how much cash they were able to raise in the first quarter of the year - an early test of their ability to organize and build support
httpswwwcnncom20190401investingwellsfargoceotimsloanindexhtml	CNN	investing	Wells Fargo's CEO is out. Here's how the bank can end its crisis	Wells Fargo is finally doing what it should have done long ago: Hire an outsider CEO who isn't stained by the bank's toxic culture
httpswwwcnncomtravelarticleairportsopening2019indexhtml	CNN	cle	The most exciting new airports opening in 2019	Most of us wouldn't voluntarily spend longer than necessary in an airport, but after these new transport hubs open in 2019, you might feel differently
httpswwwcnncomvideospolitics20190401realitychecktrumpartofdeflectionjohnavlonnewdayvpxcnn	CNN	tics	How President Trump mastered the art of deflection	CNN's John Avlon looks at President Trump's skills in the art of deflection
https:www.usatoday.comstorysportsftw20190401charles-barkley-cried-tears-of-joy-after-auburn-made-its-first-final-four39282027	USAToday	newstopstories	Charles Barkley cried tears of joy after Auburn made its first Final Four	Worth the wait
httpswwwreuterscomarticleusspainnorthkoreanorthkoreasaysembassyraidinspainwasagraveterroristattackidUSKCN1RC03FfeedTypeRSS&feedNameworldNews	Reuters	worldNews	North Korea says embassy raid in Spain was a 'grave terrorist attack'	A break-in at the North Korean embassy in Spain in February was "a grave terrorist attack", a representative from North Korea's foreign ministry said on Sunday in the North's first official comment on the incident
httpswwwreuterscomarticleusisraelelectionsocialmediaisraeliresearchershundredsoffaketwitteraccountsboostnetanyahuidUSKCN1RD2C1feedTypeRSS&feedNameworldNews	Reuters	worldNews	Israeli researchers - hundreds of fake Twitter accounts boost Netanyahu	Two Israeli researchers said on Monday they had discovered a network of hundreds of fake Twitter accounts that promoted Prime Minister Benjamin Netanyahu and attacked his political rivals, a week before a national election
httpswwwreuterscomarticleusnepalstormseverethunderstorminnepalleaves25deadhundredsinjuredidUSKCN1RC0TIfeedTypeRSS&feedNameworldNews	Reuters	worldNews	Severe thunderstorm in Nepal leaves 25 dead, hundreds injured	Over two dozen people were killed in a severe thunderstorm that swept through parts of southern Nepal late on Sunday and hundreds more were injured, police and officials said
httpswwwreuterscomarticleususaeconomyweakfebruaryusretailsalesunderscoreslowingeconomyidUSKCN1RD2CKfeedTypeRSS&feedNamebusinessNews	Reuters	businessNews	Weak February U.S. retail sales underscore slowing economy	U.S. retail sales unexpectedly fell in February, the latest sign economic growth has shifted into low gear as stimulus from $1.5 trillion in tax cuts and increased government spending fades
httpswwwreuterscomarticleusglobaloilwtihits2019highasoilextendsfirstquartergainsontightsupplyidUSKCN1RD118feedTypeRSS&feedNamebusinessNews	Reuters	businessNews	WTI hits 2019 high as oil extends first-quarter gains on tight supply	U.S. crude oil hit a 2019 high on Monday and Brent gained a dollar after tight supply and positive signs for the global economy drove both benchmarks' largest first-quarter gains in nearly a decade
httpswwwreuterscomarticleoriginhousemacrescolabscannabiscompanycrescolabstobuyoriginhouseforaboutc11blnidUSL3N21J37EfeedTypeRSS&feedNamecompanyNews	Reuters	companyNews	Cannabis company Cresco Labs to buy Origin House for about C$1.1 bln	U.S. cannabis company Cresco Labs Inc
said on Monday it would buy pot distributor Origin House
for about C$1.1 billion  ($823.29 million)
httpswwwreuterscomarticlevalesadisastercertificationsbrazilminervalelosesstabilitycertificationson17damsdikesidUSE6N1XH04VfeedTypeRSS&feedNamecompanyNews	Reuters	companyNews	Brazil miner Vale loses stability certifications on 17 dams, dikes	Brazilian miner Vale SA
said on Monday it failed to obtain stability
certificates for at least 17 dams and dikes, as the structures
are reviewed following a rupture at a tailings dam at one of its
facilities that killed hundreds
httpswwwreuterscomarticlesantanderstrategypreviewsantanderexpectedtotrumpetlatamgrowthandreducebrexitriskidUSL8N21J2LFfeedTypeRSS&feedNamecompanyNews	Reuters	companyNews	Santander expected to trumpet Latam growth and reduce Brexit risk	* Higher lending volumes seen boosting Latin American
busines
httpswwwcnncom20190401entertainmentthetwilightzonereviewindexhtml	CNN	entertainment	'The Twilight Zone' gets a 'Black Mirror' makeover	Rod Serling's classic "The Twilight Zone" made its debut almost 60 years ago, but each generation seems destined for its own revival. The latest incarnation, courtesy of streaming site CBS All Access, tries to give the sci-fi anthology a new coat of "Black Mirror" polish, with intriguing but mixed results
httpswwwcnncomtravelarticleinsiderguidesanfranciscoindexhtml	CNN	cle	San Francisco: Insider Travel Guide	San Francisco evokes images of the Golden Gate Bridge and fog-shrouded hills. Insiders guide you to the rest of their compact, glorious City by the Bay
https:www.usatoday.comstorynewsnation20190330migrants-overflow-border-federal-facilities-local-strain-wall-trump3309462002	USAToday	newstopstories	&apos;We&rsquo;ve never seen anything like this&apos;: As Trump threatens to close border, migrants overwhelm Texas cities	Border Patrol agents expect to see more than 100,000 apprehensions and encounters with migrants in March, the highest monthly total in over a decade
https:www.usatoday.comstorysponsor-storycars-dot-com20190401do-you-really-need-change-your-oil-every-3-000-miles3313037002	USAToday	newstopstories	Do you really need to change your oil every 3,000 miles?	You&apos;ve probably been told that you need an oil change every 3,000 miles, but do you really need to
https:www.usatoday.comstorysponsor-storycars-dot-com20190401clearing-air-importance-your-cabin-air-filter3313169002	USAToday	newstopstories	Clearing the air on the importance of your cabin air filter	You may be surprised at what you find clinging to your filter, from leaves and twigs and grime, and maybe even dead bugs
https:www.usatoday.comstorytravelcruises20190401viking-sky-cruise-accident-norway-north-carolina-residents3329815002	USAToday	newstopstories	We survived the cruise accident in Norway &mdash; and still recommend Viking	"A wall of Arctic water washed in, and&nbsp;Elaine Barkus was thrown about 20 feet&nbsp;and pinned to the floor by the sheer weight of the water.
https:www.foxnews.comworldpakistani-court-orders-musharraf-to-appear-or-forfeit-rights	FOX		Pakistani court orders Musharraf to appear or forfeit rights	Pakistan's top court has ordered the country's former military ruler to appear before a special tribunal hearing a treason case against him or forfeit his rights to a defense
https:www.foxnews.comscienceduck-billed-dinosaurs-roved-the-arctic-69-million-years-ago-study-says	FOX		Duck-billed dinosaurs roved the Arctic 69 million years ago, study says	Despite the harsh conditions seen today, duck-billed dinosaurs roved the Arctic 69-million-years-ago, according to a new study
httpswwwcnncom20190401successpropertytaxesrealestatemarketindexhtml	CNN	success	When $30,000 property taxes hit a little harder	In the wake of recent tax reform, affluent homeowners are paying a lot more attention to their property taxes
httpswwwreuterscomarticleeuropemoneylaunderingswedbankupdate3swedenwillnotinvestigateswedbankoverbrowdercomplaintidUSL8N21J21FfeedTypeRSS&feedNamecompanyNews	Reuters	companyNews	UPDATE 3-Sweden will not investigate Swedbank over Browder complaint	* Swedbank shares rise 4 pct
(Adds Swedbank response, updates shares
httpswwwreuterscomarticlekellogdivestitureferrerokelloggtosellkeeblercookiebrandtoitalysferrerofor13blnidUSL3N21J37UfeedTypeRSS&feedNamecompanyNews	Reuters	companyNews	Kellogg to sell Keebler cookie brand to Italy's Ferrero for $1.3 bln	Cereal maker Kellogg Co said on
Monday it would sell its Keebler cookies unit and some other
assets to Italy's Ferrero Group for $1.3 billion
httpswwwcnncom20190331investingstocksweekaheadzombiecompaniesdebtindexhtml	CNN	investing	13% of the world's companies are 'zombies'	1. Easy money: The past decade of ultra-low interest rates has spawned the rise of "zombie" companies
https:www.usatoday.comstorynewspolitics20190401stephanie-carter-defends-joe-biden3329501002	USAToday	topstories	Wife of ex-Defense secretary defends Biden, says viral photo of them used &apos;misleadingly&apos;	"The Joe Biden in&nbsp;my picture&nbsp;is a close friend helping someone get through a big day, for which I will always be grateful," Stephanie Carter wrote
httpswwwreuterscomarticleindiaoyoairbnbupdate1airbnbtoinvest100200mlninindiasoyosourceidUSL3N21J36UfeedTypeRSS&feedNamecompanyNews	Reuters	companyNews	UPDATE 1-Airbnb to invest $100-200 mln in India's OYO - source	Home-renting company Airbnb will invest
between $100 and $200 million in SoftBank Group-backed
Indian hotel start-up OYO, a source with direct knowledge of the
matter told Reuters, as it dives deeper into the hotel-booking
business
httpswwwreuterscomarticleeuropemoneylaunderingswedbankrefileupdate3swedenwillnotinvestigateswedbankoverbrowdercomplaintidUSL8N21J21FfeedTypeRSS&feedNamecompanyNews	Reuters	companyNews	REFILE-UPDATE 3-Sweden will not investigate Swedbank over Browder complaint	Sweden's Economic Crime
Authority said it will not investigate Swedbank over
a criminal complaint alleging money laundering brought by
campaigning investor Bill Browder
httpswwwreuterscomarticleusastocksusstockswallstreetsettorallyonchinadatatradehopesidUSL3N21J373feedTypeRSS&feedNamecompanyNews	Reuters	companyNews	US STOCKS-Wall Street set to rally on China data, trade hopes	* Futures up: Dow 0.84 pct, S&P 0.75 pct, Nasdaq 1.00 pct
(Adds comments, updates prices
httpswwwreuterscomarticleususacourtcensustrumpsaysuscensusmeaninglesswithoutcitizenshipquestionidUSKCN1RD2DSfeedTypeRSS&feedNamepoliticsNews	Reuters	politicsNews	Trump says U.S. census 'meaningless' without citizenship question	U.S. President Donald Trump on Monday said the nation's 2020 census would be "meaningless" without the inclusion of a controversial citizenship question, wading into the legal fray over the nationwide count
https:www.foxnews.compoliticsocasio-cortez-rallies-progressives-against-dem-leaders-bid-to-shield-incumbents-from-primary-challengers	FOX		Ocasio-Cortez rallies progressives against Dem leaders' bid to shield incumbents from primary challengers	Freshman Reps. Alexandria Ocasio-Cortez and Ayanna Pressley have in a matter of days rallied the progressive base against a plan by House Democrats' campaign arm to isolate and discourage would-be challengers from running against incumbents in congressional primaries. 
httpswwwcnncom20190401businesskelloggsellskeeblertrndindexhtml	CNN	business	Kellogg getting out of the cookie business	Kellogg is getting out of the cookie business to focus on snacks and cereal
httpswwwcnncom20151007opinionsfadermanstonewallcontroversyindexhtml	CNN	opinions	Did 'Stonewall' film really whitewash history?	Author Lillian Faderman writes that clearly, all segments of the LGBT community have some link to Stonewall. So why did the "Stonewall" movie cause such a stir
httpswwwcnncom20150619uslgbtrightsmilestonesfastfactsindexhtml	CNN	us	LGBT Rights Milestones Fast Facts	Read CNN's Fast Facts on lesbian, gay, bisexual and transgender milestones in the United States, and learn more about their struggle for equal rights
https:www.usatoday.comvideosnewsworld20190401man-accused-attempting-steal-part-train-track-auschwitz3329680002	USAToday	topstories	American man accused of attempting to steal part of train track from Auschwitz	An American man could be headed to prison after he allegedly tried to remove a part of a railroad track from Auschwitz
https:www.usatoday.comstorysportsmlbphillies20190401rhys-hoskins-hit-pitch-after-bryce-harper-homer-manager-gabe-kapler-upset3329884002	USAToday	newstopstories	Phillies manager Gabe Kapler on Rhys Hoskins&apos; getting plunked: &apos;It really pisses me off&apos;	Phillies manager Gabe Kapler was furious when Rhys Hoskins was hit by a pitch following Bryce Harper&apos;s home run against the Braves
https:www.10best.cominterestsfood-culturea-history-of-the-banh-mi-the-worlds-favorite-sandwich	USAToday	newstopstories	The fascinating history of the banh mi	Exploring the birthplace of this famous sandwic
https:www.10best.cominterestsfood-travel10-places-to-eat-in-tucson-for-surprisingly-international-cuisine	USAToday	newstopstories	10 Tucson spots for surprisingly international cuisine	There&apos;s more than great Mexican food in "The Old Pueblo
https:www.usatoday.comstorynewsnation20190401huge-florida-alligator-750-pounds-12-feet3329636002	USAToday	topstories	Massive 12-foot alligator trapped in Florida weighs nearly 750 pounds	A South Florida business owner noticed the behemoth reptile wandering near an office
httpswwwreuterscomarticleusindiaoyoairbnbairbnbtoinvest100200millioninindiasoyosourceidUSKCN1RD1N5feedTypeRSS&feedNamebusinessNews	Reuters	businessNews	Airbnb to invest $100-200 million in India's OYO - source	Home-renting company Airbnb will invest between $100 and $200 million in SoftBank Group-backed Indian hotel start-up OYO, a source with direct knowledge of the matter told Reuters, as it dives deeper into the hotel-booking business
http:rssfeeds.usatoday.com~6002085400usatoday-newstopstories~Which-shampoo-is-best-for-dyed-hair	USAToday	newstopstories	Which shampoo is best for dyed hair?	If you have a killer dye job, not all shampoos are created equal
https:www.usatoday.comstoryopinion201904012020-budget-government-spends-deficit-payments-for-individuals-checks-column3286845002	USAToday	newstopstories	The government is now a check-writing, wealth-redistribution machine that costs trillions	Who would object to the government shifting money from the wealthy to the less fortunate? Except that&apos;s not what happens: Few funds really go to them
https:www.usatoday.comstorysportsncaab20190401kentucky-basketball-ncaa-tournament-loss-fuels-questions-john-calipari-system3329913002	USAToday	newstopstories	Is John Calipari&apos;s Kentucky system broken? Tournament loss fuels doubts	Youthful mistakes torpedoed another Kentucky basketball NCAA tournament runs, fueling questions about what changes John Calipari needs to make
